"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"P0095","P","both","Температура впускного воздуха Датчик 2 Цепь","Температура впускного воздуха Датчик 2 Цепь","Температура впускного воздуха Датчик 2 Цепь"
"P0096","P","both","Температура впускного воздуха Датчик 2 Цепь Диапазон/Производительность","Температура впускного воздуха Датчик 2 Цепь Диапазон/Производительность","Температура впускного воздуха Датчик 2 Цепь Диапазон/Производительность"
"P0097","P","both","Температура впускного воздуха Датчик 2 Цепь Низкий Вход","Температура впускного воздуха Датчик 2 Цепь Низкий Вход","Температура впускного воздуха Датчик 2 Цепь Низкий"
"P0098","P","both","Температура впускного воздуха Датчик 2 Цепь Высокий Вход","Температура впускного воздуха Датчик 2 Цепь Высокий Вход","Температура впускного воздуха Датчик 2 Цепь Высокий"
"P0099","P","both","Температура впускного воздуха Датчик 2 Цепь Прерывистый/Нестабильный","Температура впускного воздуха Датчик 2 Цепь Прерывистый/Нестабильный","Температура впускного воздуха Датчик 2 Цепь Прерывистый/Нестабильный"
"P0100","P","both","Массовый or Объем Воздух Поток Цепь Неисправность","Массовый or Объем Воздух Поток Цепь Неисправность","Массовый or Объем Воздух Поток Цепь"
"P0101","P","both","Массовый or Объем Воздух Поток Цепь Диапазон/Производительность Problem","Массовый or Объем Воздух Поток Цепь Диапазон/Производительность Problem","Массовый or Объем Воздух Поток Цепь Диапазон/Производительность"
"P0102","P","both","Массовый or Объем Воздух Поток Цепь Низкий Вход","Массовый or Объем Воздух Поток Цепь Низкий Вход","Массовый or Объем Воздух Поток Цепь Низкий Вход"
"P0103","P","both","Массовый or Объем Воздух Поток Цепь Высокий Вход","Массовый or Объем Воздух Поток Цепь Высокий Вход","Массовый or Объем Воздух Поток Цепь Высокий Вход"
"P0104","P","both","Массовый or Объем Воздух Поток Цепь Прерывистый","Массовый or Объем Воздух Поток Цепь Прерывистый","Массовый or Объем Воздух Поток Цепь Прерывистый"
"P0105","P","both","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Неисправность","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Неисправность","Коллектор Абсолютное Давление/Барометрическое Давление Цепь"
"P0106","P","both","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Диапазон/Производительность Problem","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Диапазон/Производительность Problem","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Диапазон/Производительность"
"P0107","P","both","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Низкий Вход","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Низкий Вход","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Низкий Вход"
"P0108","P","both","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Высокий Вход","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Высокий Вход","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Высокий Вход"
"P0109","P","both","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Прерывистый","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Прерывистый","Коллектор Абсолютное Давление/Барометрическое Давление Цепь Прерывистый"
"P0110","P","both","Температура впускного воздуха Цепь Неисправность","Температура впускного воздуха Цепь Неисправность","Температура впускного воздуха Датчик 1 Цепь"
"P0111","P","both","Температура впускного воздуха Цепь Диапазон/Производительность Problem","Температура впускного воздуха Цепь Диапазон/Производительность Problem","Температура впускного воздуха Датчик 1 Цепь Диапазон/Производительность"
"P0112","P","both","Температура впускного воздуха Цепь Низкий Вход","Температура впускного воздуха Цепь Низкий Вход","Температура впускного воздуха Датчик 1 Цепь Низкий"
"P0113","P","both","Температура впускного воздуха Цепь Высокий Вход","Температура впускного воздуха Цепь Высокий Вход","Температура впускного воздуха Датчик 1 Цепь Высокий"
"P0114","P","both","Температура впускного воздуха Цепь Прерывистый","Температура впускного воздуха Цепь Прерывистый","Температура впускного воздуха Датчик 1 Цепь Прерывистый"
"P0115","P","both","Температура охлаждающей жидкости двигателя Цепь Неисправность","Температура охлаждающей жидкости двигателя Цепь Неисправность","Температура охлаждающей жидкости двигателя Цепь"
"P0116","P","both","Температура охлаждающей жидкости двигателя Цепь Диапазон/Производительность Problem","Температура охлаждающей жидкости двигателя Цепь Диапазон/Производительность Problem","Температура охлаждающей жидкости двигателя Цепь Диапазон/Производительность"
"P0117","P","both","Температура охлаждающей жидкости двигателя Цепь Низкий Вход","Температура охлаждающей жидкости двигателя Цепь Низкий Вход","Температура охлаждающей жидкости двигателя Цепь Низкий"
"P0118","P","both","Температура охлаждающей жидкости двигателя Цепь Высокий Вход","Температура охлаждающей жидкости двигателя Цепь Высокий Вход","Температура охлаждающей жидкости двигателя Цепь Высокий"
"P0119","P","both","Температура охлаждающей жидкости двигателя Цепь Прерывистый","Температура охлаждающей жидкости двигателя Цепь Прерывистый","Температура охлаждающей жидкости двигателя Цепь Прерывистый"
"P0120","P","both","Дроссельная заслонка Педаль Положение Датчик/Switch A Цепь Неисправность","Дроссельная заслонка Педаль Положение Датчик/Switch A Цепь Неисправность","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0121","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0122","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0123","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0124","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch A Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0125","P","both","Insufficient Охлаждающая жидкость Температура for Closed Контур Топливо Управление","Insufficient Охлаждающая жидкость Температура for Closed Контур Топливо Управление","Insufficient Охлаждающая жидкость Температура for Closed Контур Топливо Управление"
"P0126","P","both","Insufficient Охлаждающая жидкость Температура for Stable Operation","Insufficient Охлаждающая жидкость Температура for Stable Operation","Insufficient Охлаждающая жидкость Температура for Stable Operation"
"P0127","P","both","Температура впускного воздуха Слишком высокий","Температура впускного воздуха Слишком высокий","Температура впускного воздуха Слишком высокий"
"P0128","P","both","Охлаждающая жидкость Thermostat (Охлаждающая жидкость Temp Below Thermostat Regulating Температура)","Охлаждающая жидкость Thermostat (Охлаждающая жидкость Temp Below Thermostat Regulating Температура)","Охлаждающая жидкость Thermostat (Охлаждающая жидкость Температура Below Thermostat Regulating Температура)"
"P0129","P","both","Барометрическое Давление Слишком низкий","Барометрическое Давление Слишком низкий","Барометрическое Давление Слишком низкий"
"P0130","P","both","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 1)","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 1)","O2 Датчик Цепь"
"P0131","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 1)","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 1)","O2 Датчик Цепь Низкий Напряжение"
"P0132","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 1)","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 1)","O2 Датчик Цепь Высокий Напряжение"
"P0133","P","both","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 1)","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 1)","O2 Датчик Цепь Slow Response"
"P0134","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 1)","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 1)","O2 Датчик Цепь No Activity Обнаружен"
"P0135","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 1)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 1)","O2 Датчик Нагреватель Цепь"
"P0136","P","both","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 2)","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 2)","O2 Датчик Цепь"
"P0137","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 2)","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 2)","O2 Датчик Цепь Низкий Напряжение"
"P0138","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 2)","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 2)","O2 Датчик Цепь Высокий Напряжение"
"P0139","P","both","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 2)","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 2)","O2 Датчик Цепь Slow Response"
"P0140","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 2)","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 2)","O2 Датчик Цепь No Activity Обнаружен"
"P0141","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 2)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 2)","O2 Датчик Нагреватель Цепь"
"P0142","P","both","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 3)","O2 Датчик Цепь Неисправность (Ряд 1 Датчик 3)","O2 Датчик Цепь"
"P0143","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 3)","O2 Датчик Цепь Низкий Напряжение (Ряд 1 Датчик 3)","O2 Датчик Цепь Низкий Напряжение"
"P0144","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 3)","O2 Датчик Цепь Высокий Напряжение (Ряд 1 Датчик 3)","O2 Датчик Цепь Высокий Напряжение"
"P0145","P","both","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 3)","O2 Датчик Цепь Slow Response (Ряд 1 Датчик 3)","O2 Датчик Цепь Slow Response"
"P0146","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 3)","O2 Датчик Цепь No Activity Обнаружен (Ряд 1 Датчик 3)","O2 Датчик Цепь No Activity Обнаружен"
"P0147","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 3)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 1 Датчик 3)","O2 Датчик Нагреватель Цепь"
"P0148","P","both","Топливо Delivery Error","Топливо Delivery Error","Топливо Delivery Error"
"P0149","P","both","Топливо Синхронизация Error","Топливо Синхронизация Error","Топливо Синхронизация Error"
"P0150","P","both","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 1)","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 1)","O2 Датчик Цепь"
"P0151","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 1)","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 1)","O2 Датчик Цепь Низкий Напряжение"
"P0152","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 1)","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 1)","O2 Датчик Цепь Высокий Напряжение"
"P0153","P","both","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 1)","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 1)","O2 Датчик Цепь Slow Response"
"P0154","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 1)","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 1)","O2 Датчик Цепь No Activity Обнаружен"
"P0155","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 1)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 1)","O2 Датчик Нагреватель Цепь"
"P0156","P","both","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 2)","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 2)","O2 Датчик Цепь"
"P0157","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 2)","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 2)","O2 Датчик Цепь Низкий Напряжение"
"P0158","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 2)","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 2)","O2 Датчик Цепь Высокий Напряжение"
"P0159","P","both","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 2)","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 2)","O2 Датчик Цепь Slow Response"
"P0160","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 2)","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 2)","O2 Датчик Цепь No Activity Обнаружен"
"P0161","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 2)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 2)","O2 Датчик Нагреватель Цепь"
"P0162","P","both","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 3)","O2 Датчик Цепь Неисправность (Ряд 2 Датчик 3)","O2 Датчик Цепь"
"P0163","P","both","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 3)","O2 Датчик Цепь Низкий Напряжение (Ряд 2 Датчик 3)","O2 Датчик Цепь Низкий Напряжение"
"P0164","P","both","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 3)","O2 Датчик Цепь Высокий Напряжение (Ряд 2 Датчик 3)","O2 Датчик Цепь Высокий Напряжение"
"P0165","P","both","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 3)","O2 Датчик Цепь Slow Response (Ряд 2 Датчик 3)","O2 Датчик Цепь Slow Response"
"P0166","P","both","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 3)","O2 Датчик Цепь No Activity Обнаружен (Ряд 2 Датчик 3)","O2 Датчик Цепь No Activity Обнаружен"
"P0167","P","both","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 3)","O2 Датчик Нагреватель Цепь Неисправность (Ряд 2 Датчик 3)","O2 Датчик Нагреватель Цепь"
"P0168","P","both","Двигатель Топливо Температура Слишком высокий","Двигатель Топливо Температура Слишком высокий","Топливо Температура Слишком высокий"
"P0169","P","both","Incorrect Топливо Composition","Incorrect Топливо Composition","Incorrect Топливо Composition"
"P0170","P","both","Топливо Коррекция Неисправность (Ряд 1)","Топливо Коррекция Неисправность (Ряд 1)","Топливо Коррекция"
"P0171","P","both","Система Too Обеднённая (Ряд 1)","Система Too Обеднённая (Ряд 1)","Система Too Обеднённая"
"P0172","P","both","Система Too Обогащённая (Ряд 1)","Система Too Обогащённая (Ряд 1)","Система Too Обогащённая"
"P0173","P","both","Топливо Коррекция Неисправность (Ряд 2)","Топливо Коррекция Неисправность (Ряд 2)","Топливо Коррекция"
"P0174","P","both","Система Too Обеднённая (Ряд 2)","Система Too Обеднённая (Ряд 2)","Система Too Обеднённая"
"P0175","P","both","Система Too Обогащённая (Ряд 2)","Система Too Обогащённая (Ряд 2)","Система Too Обогащённая"
"P0176","P","both","Топливо Composition Датчик Цепь Неисправность","Топливо Composition Датчик Цепь Неисправность","Топливо Composition Датчик Цепь"
"P0177","P","both","Топливо Composition Датчик Цепь Диапазон/Производительность","Топливо Composition Датчик Цепь Диапазон/Производительность","Топливо Composition Датчик Цепь Диапазон/Производительность"
"P0178","P","both","Топливо Composition Датчик Цепь Низкий Вход","Топливо Composition Датчик Цепь Низкий Вход","Топливо Composition Датчик Цепь Низкий"
"P0179","P","both","Топливо Composition Датчик Цепь Высокий Вход","Топливо Composition Датчик Цепь Высокий Вход","Топливо Composition Датчик Цепь Высокий"
"P0180","P","both","Топливо Температура Датчик A Цепь Неисправность","Топливо Температура Датчик A Цепь Неисправность","Топливо Температура Датчик A Цепь"
"P0181","P","both","Топливо Температура Датчик A Цепь Производительность","Топливо Температура Датчик A Цепь Производительность","Топливо Температура Датчик A Цепь Диапазон/Производительность"
"P0182","P","both","Топливо Температура Датчик A Цепь Низкий Вход","Топливо Температура Датчик A Цепь Низкий Вход","Топливо Температура Датчик A Цепь Низкий"
"P0183","P","both","Топливо Температура Датчик A Цепь Прерывистый","Топливо Температура Датчик A Цепь Прерывистый","Топливо Температура Датчик A Цепь Высокий"
"P0184","P","both","Топливо Температура Датчик A Цепь Прерывистый","Топливо Температура Датчик A Цепь Прерывистый","Топливо Температура Датчик A Цепь Прерывистый"
"P0185","P","both","Топливо Температура Датчик B Цепь Неисправность","Топливо Температура Датчик B Цепь Неисправность","Топливо Температура Датчик B Цепь"
"P0186","P","both","Топливо Температура Датчик B Цепь Диапазон/Производительность","Топливо Температура Датчик B Цепь Диапазон/Производительность","Топливо Температура Датчик B Цепь Диапазон/Производительность"
"P0187","P","both","Топливо Температура Датчик B Цепь Низкий Вход","Топливо Температура Датчик B Цепь Низкий Вход","Топливо Температура Датчик B Цепь Низкий"
"P0188","P","both","Топливо Температура Датчик B Цепь Высокий Вход","Топливо Температура Датчик B Цепь Высокий Вход","Топливо Температура Датчик B Цепь Высокий"
"P0189","P","both","Топливо Температура Датчик B Цепь Прерывистый","Топливо Температура Датчик B Цепь Прерывистый","Топливо Температура Датчик B Цепь Прерывистый"
"P0190","P","both","Давление в топливной рампе Датчик Цепь Неисправность","Давление в топливной рампе Датчик Цепь Неисправность","Давление в топливной рампе Датчик Цепь"
"P0191","P","both","Давление в топливной рампе Датчик Цепь Диапазон/Производительность","Давление в топливной рампе Датчик Цепь Диапазон/Производительность","Давление в топливной рампе Датчик Цепь Диапазон/Производительность"
"P0192","P","both","Давление в топливной рампе Датчик Цепь Низкий Вход","Давление в топливной рампе Датчик Цепь Низкий Вход","Давление в топливной рампе Датчик Цепь Низкий"
"P0193","P","both","Давление в топливной рампе Датчик Цепь Высокий Вход","Давление в топливной рампе Датчик Цепь Высокий Вход","Давление в топливной рампе Датчик Цепь Высокий"
"P0194","P","both","Давление в топливной рампе Датчик Цепь Прерывистый","Давление в топливной рампе Датчик Цепь Прерывистый","Давление в топливной рампе Датчик Цепь Прерывистый"
"P0195","P","both","Двигатель Oil Температура Датчик Неисправность","Двигатель Oil Температура Датчик Неисправность","Двигатель Oil Температура Датчик"
"P0196","P","both","Двигатель Oil Температура Датчик Диапазон/Производительность","Двигатель Oil Температура Датчик Диапазон/Производительность","Двигатель Oil Температура Датчик Диапазон/Производительность"
"P0197","P","both","Двигатель Oil Температура Датчик Низкий","Двигатель Oil Температура Датчик Низкий","Двигатель Oil Температура Датчик Низкий"
"P0198","P","both","Двигатель Oil Температура Датчик Высокий","Двигатель Oil Температура Датчик Высокий","Двигатель Oil Температура Датчик Высокий"
"P0199","P","both","Двигатель Oil Температура Датчик Прерывистый","Двигатель Oil Температура Датчик Прерывистый","Двигатель Oil Температура Датчик Прерывистый"
"P0200","P","both","Форсунка Цепь Неисправность","Форсунка Цепь Неисправность","Форсунка Цепь/Обрыв"
"P0201","P","both","Форсунка Цепь Неисправность - Цилиндр 1","Форсунка Цепь Неисправность - Цилиндр 1","Форсунка Цепь/Обрыв - Цилиндр 1"
"P0202","P","both","Форсунка Цепь Неисправность - Цилиндр 2","Форсунка Цепь Неисправность - Цилиндр 2","Форсунка Цепь/Обрыв - Цилиндр 2"
"P0203","P","both","Форсунка Цепь Неисправность - Цилиндр 3","Форсунка Цепь Неисправность - Цилиндр 3","Форсунка Цепь/Обрыв - Цилиндр 3"
"P0204","P","both","Форсунка Цепь Неисправность - Цилиндр 4","Форсунка Цепь Неисправность - Цилиндр 4","Форсунка Цепь/Обрыв - Цилиндр 4"
"P0205","P","both","Форсунка Цепь Неисправность - Цилиндр 5","Форсунка Цепь Неисправность - Цилиндр 5","Форсунка Цепь/Обрыв - Цилиндр 5"
"P0206","P","both","Форсунка Цепь Неисправность - Цилиндр 6","Форсунка Цепь Неисправность - Цилиндр 6","Форсунка Цепь/Обрыв - Цилиндр 6"
"P0207","P","both","Форсунка Цепь Неисправность - Цилиндр 7","Форсунка Цепь Неисправность - Цилиндр 7","Форсунка Цепь/Обрыв - Цилиндр 7"
"P0208","P","both","Форсунка Цепь Неисправность - Цилиндр 8","Форсунка Цепь Неисправность - Цилиндр 8","Форсунка Цепь/Обрыв - Цилиндр 8"
"P0209","P","both","Форсунка Цепь Неисправность - Цилиндр 9","Форсунка Цепь Неисправность - Цилиндр 9","Форсунка Цепь/Обрыв - Цилиндр 9"
"P0210","P","both","Форсунка Цепь Неисправность - Цилиндр 10","Форсунка Цепь Неисправность - Цилиндр 10","Форсунка Цепь/Обрыв - Цилиндр 10"
"P0211","P","both","Форсунка Цепь Неисправность - Цилиндр 11","Форсунка Цепь Неисправность - Цилиндр 11","Форсунка Цепь/Обрыв - Цилиндр 11"
"P0212","P","both","Форсунка Цепь Неисправность - Цилиндр 12","Форсунка Цепь Неисправность - Цилиндр 12","Форсунка Цепь/Обрыв - Цилиндр 12"
"P0213","P","both","Cold Start Форсунка 1 Неисправность","Cold Start Форсунка 1 Неисправность","Cold Start Форсунка 1"
"P0214","P","both","Cold Start Форсунка 2 Неисправность","Cold Start Форсунка 2 Неисправность","Cold Start Форсунка 2"
"P0215","P","both","Двигатель Отключение Соленоид Неисправность","Двигатель Отключение Соленоид Неисправность","Двигатель Отключение Соленоид"
"P0216","P","both","Injection Синхронизация Управление Цепь Неисправность","Injection Синхронизация Управление Цепь Неисправность","Форсунка/Injection Синхронизация Управление Цепь"
"P0217","P","both","Двигатель Overtemp Condition","Двигатель Overtemp Condition","Двигатель Охлаждающая жидкость Over Температура Condition"
"P0218","P","both","Трансмиссия Over Температура Condition","Трансмиссия Over Температура Condition","Трансмиссия Fluid Over Температура Condition"
"P0219","P","both","Двигатель Over Скорость Condition","Двигатель Over Скорость Condition","Двигатель Превышение скорости Condition"
"P0220","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Неисправность","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Неисправность","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0221","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0222","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0223","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0224","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch B Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0225","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Неисправность","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Неисправность","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0226","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Диапазон/Производительность Problem","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0227","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Низкий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0228","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Высокий Вход","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0229","P","both","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch C Цепь Прерывистый","Дроссельная заслонка/Педаль Положение Датчик/Switch "
"P0230","P","both","Топливо Насос Primary Цепь Неисправность","Топливо Насос Primary Цепь Неисправность","Топливо Насос Primary Цепь"
"P0231","P","both","Топливо Насос Secondary Цепь Низкий","Топливо Насос Secondary Цепь Низкий","Топливо Насос Secondary Цепь Низкий"
"P0232","P","both","Топливо Насос Secondary Цепь Прерывистый","Топливо Насос Secondary Цепь Прерывистый","Топливо Насос Secondary Цепь Высокий"
"P0233","P","both","Топливо Насос Secondary Цепь Прерывистый","Топливо Насос Secondary Цепь Прерывистый","Топливо Насос Secondary Цепь Прерывистый"
"P0234","P","both","Двигатель Overboost Condition","Двигатель Overboost Condition","Турбо/Нагнетатель Overboost Condition"
"P0235","P","both","Турбонагнетатель Наддув Датчик A Цепь Неисправность","Турбонагнетатель Наддув Датчик A Цепь Неисправность","Турбо/Нагнетатель Наддув Датчик "
"P0236","P","both","Турбонагнетатель Наддув Датчик A Цепь Диапазон/Производительность.","Турбонагнетатель Наддув Датчик A Цепь Диапазон/Производительность.","Турбо/Нагнетатель Наддув Датчик "
"P0237","P","both","Турбонагнетатель Наддув Датчик A Цепь Низкий","Турбонагнетатель Наддув Датчик A Цепь Низкий","Турбо/Нагнетатель Наддув Датчик "
"P0238","P","both","Турбонагнетатель Наддув Датчик A Цепь Высокий","Турбонагнетатель Наддув Датчик A Цепь Высокий","Турбо/Нагнетатель Наддув Датчик "
"P0239","P","both","Турбонагнетатель Наддув Датчик B Цепь Неисправность","Турбонагнетатель Наддув Датчик B Цепь Неисправность","Турбо/Нагнетатель Наддув Датчик "
"P0240","P","both","Турбонагнетатель Наддув Датчик B Цепь Диапазон/Производительность","Турбонагнетатель Наддув Датчик B Цепь Диапазон/Производительность","Турбо/Нагнетатель Наддув Датчик "
"P0241","P","both","Турбонагнетатель Наддув Датчик B Цепь Низкий","Турбонагнетатель Наддув Датчик B Цепь Низкий","Турбо/Нагнетатель Наддув Датчик "
"P0242","P","both","Турбонагнетатель Наддув Датчик B Цепь Высокий","Турбонагнетатель Наддув Датчик B Цепь Высокий","Турбо/Нагнетатель Наддув Датчик "
"P0243","P","both","Турбонагнетатель Вестгейт Соленоид A Неисправность","Турбонагнетатель Вестгейт Соленоид A Неисправность","Турбо/Нагнетатель Вестгейт Соленоид "
"P0244","P","both","Турбонагнетатель Вестгейт Соленоид A Диапазон/Производительность","Турбонагнетатель Вестгейт Соленоид A Диапазон/Производительность","Турбо/Нагнетатель Вестгейт Соленоид "
"P0245","P","both","Турбонагнетатель Вестгейт Соленоид A Низкий","Турбонагнетатель Вестгейт Соленоид A Низкий","Турбо/Нагнетатель Вестгейт Соленоид "
"P0246","P","both","Турбонагнетатель Вестгейт Соленоид A Высокий","Турбонагнетатель Вестгейт Соленоид A Высокий","Турбо/Нагнетатель Вестгейт Соленоид "
"P0247","P","both","Турбонагнетатель Вестгейт Соленоид B Неисправность","Турбонагнетатель Вестгейт Соленоид B Неисправность","Турбо/Нагнетатель Вестгейт Соленоид "
"P0248","P","both","Турбонагнетатель Вестгейт Соленоид B Диапазон/Производительность","Турбонагнетатель Вестгейт Соленоид B Диапазон/Производительность","Турбо/Нагнетатель Вестгейт Соленоид "
"P0249","P","both","Турбонагнетатель Вестгейт Соленоид B Низкий","Турбонагнетатель Вестгейт Соленоид B Низкий","Турбо/Нагнетатель Вестгейт Соленоид "
"P0250","P","both","Турбонагнетатель Вестгейт Соленоид B Высокий","Турбонагнетатель Вестгейт Соленоид B Высокий","Турбо/Нагнетатель Вестгейт Соленоид "
